=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 7건 (3승 4패)
총 수익금: +9,206원 (+0.9%)
  ㄴ 승리 수익: +77,716원 (실제 수익률 합계)
  ㄴ 손실 금액: -68,510원 (실제 손실률 합계)

=== 총 승패: 3승 4패 ===
=== selection_date 이후 승패: 3승 4패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 3승 4패 (승률 42.9%) ===
총 수익금: +9,206원 (+0.9%)
  ㄴ 승리 수익: +77,716원
  ㄴ 손실 금액: -68,510원

   🟢 039860(나노엔텍) 09:48 매수 → +3.50%
   🔴 049630(재영솔루텍) 09:57 매수 → -2.50%
   🔴 126340(비나텍) 10:00 매수 → -2.50%
   🟢 056090(시지메드텍) 10:22 매수 → +0.77%
   🔴 394800(쓰리빌리언) 10:27 매수 → -0.82%
   🔴 437730(삼현) 10:50 매수 → -1.03%
   🟢 007460(에이프로젠) 11:09 매수 → +3.50%

=== 084670 - 20251210 눌림목(3분) 신호 재현 ===
  selection_date: 2025-12-10 09:02:34
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    15:12→15:15: 종가:46,850 | 거래량:46,081 | 🔴회피(당일시가이하(시가:46850)) | 신뢰도:0%
    15:15→15:18: 종가:46,600 | 거래량:57,646 | 🔴회피(당일시가이하(시가:46850)) | 신뢰도:0%
    15:18→15:21: 종가:46,850 | 거래량:27,595 | 🔴회피(당일시가이하(시가:46850)) | 신뢰도:0%

=== 249420 - 20251210 눌림목(3분) 신호 재현 ===
  selection_date: 2025-12-10 11:48:10
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:32,000 | 거래량:254,578 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:15→09:18: 종가:32,300 | 거래량:289,806 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:18→09:21: 종가:32,100 | 거래량:135,030 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:21→09:24: 종가:32,350 | 거래량:215,885 | 🟢강매수 | 신뢰도:89%
    09:24→09:27: 종가:33,800 | 거래량:943,393 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:27→09:30: 종가:32,975 | 거래량:346,419 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:30→09:33: 종가:32,900 | 거래량:167,827 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:33→09:36: 종가:33,050 | 거래량:134,529 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:36→09:39: 종가:32,950 | 거래량:122,029 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:39→09:42: 종가:32,150 | 거래량:371,524 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:42→09:45: 종가:32,400 | 거래량:98,607 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:45→09:48: 종가:31,850 | 거래량:170,781 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:48→09:51: 종가:31,550 | 거래량:252,896 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:51→09:54: 종가:31,800 | 거래량:116,107 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:54→09:57: 종가:32,200 | 거래량:96,239 | 🔴회피(이등분선아래) | 신뢰도:0%
    09:57→10:00: 종가:32,250 | 거래량:119,711 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:00→10:03: 종가:32,500 | 거래량:86,080 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:03→10:06: 종가:32,700 | 거래량:86,191 | 🟢강매수 | 신뢰도:90%
    10:06→10:09: 종가:32,650 | 거래량:130,532 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:09→10:12: 종가:33,050 | 거래량:203,939 | 🟢강매수 | 신뢰도:90%
    10:12→10:15: 종가:33,000 | 거래량:145,782 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:15→10:18: 종가:33,250 | 거래량:213,797 | 🟢강매수 | 신뢰도:93%
    10:18→10:21: 종가:33,000 | 거래량:72,274 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:21→10:24: 종가:32,750 | 거래량:84,676 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:24→10:27: 종가:32,550 | 거래량:118,453 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:27→10:30: 종가:32,700 | 거래량:48,873 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:30→10:33: 종가:32,600 | 거래량:47,642 | 🔴회피(4단계패턴없음) | 신뢰도:0%
